YEAR;NEIGH_BCN;POP_EMP;WOR_LOWSK;POP_PS_EDU;POP_Y_WSTU;POP_INC_LM;AVER_INC
2015;01;50.4;18.3; ; ;38.5;8319.7
2015;02;46.8;9.3; ; ;19.7;11309
2015;03;50.2;12; ; ;16;10875.1
2015;04;50.4;9.6; ; ;18.7;11534.3
2015;05;60;5.6; ; ;11.5;15505.5
2015;06;61.2;6; ; ;11.2;15355.7
2015;07;59.2;3.5; ; ;8;19698.2
2015;08;60;4.3; ; ;9.7;18155.2
2015;09;60;5; ; ;10.5;16994.8
2015;10;60.5;6.7; ; ;12.2;15114.9
2015;11;56;12.7; ; ;21;10926.6
2015;12;43.1;19.9; ; ;7.9;9003
2015;13;59.6;13.3; ; ;11.3;11527.4
2015;14;58.6;7.6; ; ;12.1;13921.2
2015;15;58.7;8.8; ; ;14.8;13262.9
2015;16;61.5;8.5; ; ;9.5;13363.5
2015;17;60;9.6; ; ;13.2;13394.2
2015;18;60.7;7.2; ; ;11.7;14587.3
2015;19;61.5;3.7; ; ;6.3;19287.9
2015;20;60.2;4.3; ; ;7.2;17479.5
2015;21;58.5;2.4; ; ;6;26112.4
2015;22;61.6;5.3; ; ;3.7;17521.1
2015;23;61.9;2.3; ; ;3.6;22733.3
2015;24;62;2; ; ;3.4;26871.8
2015;25;61.1;2.8; ; ;5.3;23199.4
2015;26;62.7;2.5; ; ;5;23926.9
2015;27;62.3;3.1; ; ;6;19486
2015;28;63.1;4.8; ; ;6.8;17888.9
2015;29;61.1;6.7; ; ;8.6;13667.9
2015;30;61.7;4.7; ; ;6.2;16965.6
2015;31;60.3;5.2; ; ;8.1;15320
2015;32;63.4;4.4; ; ;6.8;16770.3
2015;33;62.7;6; ; ;8.6;14811.4
2015;34;60.6;9.2; ; ;8.9;13555
2015;35;62.7;7.6; ; ;9.5;14314.6
2015;36;65.1;5.8; ; ;3.6;16714.8
2015;37;60.1;15.3; ; ;10.4;10430.8
2015;38;61.5;12.4; ; ;9.3;11637.7
2015;39;62.3;10; ; ;8.2;12707.5
2015;40;63.7;6.5; ; ;7.4;13835.9
2015;41;67;4.8; ; ;5.9;15551.6
2015;42;70.7;8.7; ; ;15.1;12247
2015;43;62;8.1; ; ;7.8;13727.5
2015;44;62.2;9; ; ;10.3;13314.7
2015;45;61.1;11.6; ; ;12;12052.7
2015;46;56.9;18.5; ; ;18.9;9945.9
2015;47;46;18.8; ; ;5.6;9029.4
2015;48;62.4;8.8; ; ;5.8;13424.9
2015;49;59.3;14.4; ; ;3.4;12376.6
2015;50;53.9;23.2; ; ;17.5;9083.2
2015;51;56.5;18.1; ; ;15.5;9893.3
2015;52;60.2;14.7; ; ;11.9;10995.3
2015;53;48.7;22.9; ; ;16.7;8341.9
2015;54;47.8;24.4; ; ;14.2;7705.7
2015;55;47.8;27.7; ; ;26.7;7686.6
2015;56;53.6;21.1; ; ;10;8238
